"id","admin_id","date_time","function","operate"
"1180","1","28/5/2020 16:17:48","选举管理","查看"
"1181","1","28/5/2020 16:17:53","选举管理","查看"
"1182","1","28/5/2020 16:18:11","选举管理","修改"
"1183","1","28/5/2020 16:18:13","选举管理","查看"
"1184","1","28/5/2020 16:18:18","选举管理","查看"
"1185","1","28/5/2020 16:18:32","选举管理","修改"
"1186","1","28/5/2020 16:18:34","选举管理","查看"
"1187","1","28/5/2020 16:18:40","选举管理","查看"
"1188","1","28/5/2020 16:18:46","选举管理","查看"
"1189","1","28/5/2020 16:18:59","选举管理","修改"
"1190","1","28/5/2020 16:19:00","选举管理","查看"
"1191","1","28/5/2020 16:19:06","选举管理","查看"
"1192","1","28/5/2020 16:19:12","选举管理","修改"
"1193","1","28/5/2020 16:19:13","选举管理","查看"
"1194","1","28/5/2020 16:19:18","选举管理","查看"
"1195","1","28/5/2020 17:00:20","选举管理","查看"
"1196","43","28/5/2020 17:16:01","组织管理","查看"
"1197","43","28/5/2020 17:17:57","本地管理","查看"
"1198","43","28/5/2020 17:20:56","审批管理","查看"
"1199","44","28/5/2020 17:21:36","审批管理","查看"
"1200","44","28/5/2020 17:21:40","审批管理","修改"
"1201","44","28/5/2020 17:21:54","本地管理","查看"
"1202","44","28/5/2020 17:21:58","本地管理","修改"
"1203","44","28/5/2020 17:23:19","选举管理","新增"
"1204","44","28/5/2020 17:24:01","选举管理","查看"
"1205","44","28/5/2020 17:26:38","选举管理","查看"
"1206","43","28/5/2020 17:28:02","选举管理","新增"
"1207","43","28/5/2020 17:32:23","组织管理","查看"
"1208","1","28/5/2020 17:44:00","选举管理","查看"
"1209","1","28/5/2020 17:44:24","选举管理","修改"
"1210","1","28/5/2020 17:44:26","选举管理","查看"
"1211","1","28/5/2020 17:44:30","选举管理","查看"
"1212","1","28/5/2020 17:44:47","选举管理","修改"
"1213","1","28/5/2020 17:44:48","选举管理","查看"
"1214","1","28/5/2020 17:44:54","选举管理","查看"
"1215","1","28/5/2020 17:47:18","选举管理","查看"
"1216","1","28/5/2020 17:47:31","选举管理","查看"
"1217","1","28/5/2020 17:49:55","选举管理","查看"
"1218","1","28/5/2020 17:51:29","选举管理","查看"
"1219","1","28/5/2020 17:53:17","选举管理","查看"
"1220","1","28/5/2020 17:53:28","选举管理","修改"
"1221","1","28/5/2020 17:55:43","选举管理","查看"
"1222","1","28/5/2020 17:57:48","选举管理","查看"
"1223","1","28/5/2020 17:58:05","选举管理","修改"
"1224","1","28/5/2020 17:58:14","选举管理","查看"
"1225","1","28/5/2020 17:59:29","选举管理","查看"
"1226","1","28/5/2020 18:02:22","选举管理","查看"
"1227","1","28/5/2020 18:02:25","选举管理","查看"
"1228","1","28/5/2020 18:02:47","选举管理","查看"
"1229","1","28/5/2020 18:02:49","选举管理","查看"
"1230","1","28/5/2020 18:02:56","选举管理","修改"
"1231","1","28/5/2020 18:03:04","选举管理","查看"
"1232","1","28/5/2020 18:03:09","选举管理","查看"
"1233","1","28/5/2020 18:03:31","选举管理","修改"
"1234","1","28/5/2020 18:03:37","选举管理","查看"
"1235","1","28/5/2020 18:03:40","选举管理","查看"
"1236","1","28/5/2020 18:03:47","选举管理","修改"
"1237","1","28/5/2020 18:03:49","选举管理","查看"
"1238","1","28/5/2020 18:03:52","选举管理","查看"
"1239","1","29/5/2020 09:16:28","选举管理","新增"
"1240","1","29/5/2020 09:16:35","选举管理","查看"
"1241","1","29/5/2020 09:16:42","选举管理","查看"
"1242","1","29/5/2020 09:16:49","选举管理","修改"
"1243","1","29/5/2020 09:17:15","选举管理","查看"
"1244","1","29/5/2020 09:17:34","选举管理","查看"
"1245","1","29/5/2020 09:20:43","选举管理","查看"
"1246","1","29/5/2020 09:21:06","选举管理","修改"
"1247","1","29/5/2020 09:24:29","选举管理","新增"
"1248","1","29/5/2020 09:24:34","选举管理","查看"
"1249","1","29/5/2020 09:24:38","选举管理","新增"
"1250","1","29/5/2020 09:24:42","选举管理","查看"
"1251","1","29/5/2020 09:24:46","选举管理","新增"
"1252","1","29/5/2020 09:24:52","选举管理","查看"
"1253","44","29/5/2020 09:30:14","本地管理","查看"
"1254","44","29/5/2020 09:30:16","本地管理","修改"
"1255","44","29/5/2020 09:31:27","本地管理","新增"
"1256","44","29/5/2020 09:31:30","本地管理","查看"
"1257","44","29/5/2020 09:31:34","本地管理","修改"
"1258","44","29/5/2020 10:00:52","选举管理","查看"
"1259","44","29/5/2020 10:01:02","组织管理","查看"
"1260","44","29/5/2020 10:01:10","本地管理","查看"
"1261","44","29/5/2020 10:02:20","本地管理","修改"
"1262","44","29/5/2020 10:02:25","本地管理","查看"
"1263","44","29/5/2020 10:02:28","本地管理","修改"
"1264","44","29/5/2020 10:02:29","本地管理","查看"
"1265","44","29/5/2020 10:02:34","本地管理","修改"
"1266","44","29/5/2020 10:06:48","组织管理","查看"
"1267","44","29/5/2020 10:07:38","账号管理","新增"
"1268","1","29/5/2020 10:08:55","账号管理","查看"
"1269","50","29/5/2020 10:16:30","本地管理","新增"
"1270","50","29/5/2020 10:16:34","本地管理","查看"
"1271","50","29/5/2020 10:16:39","本地管理","修改"
"1272","43","29/5/2020 10:18:18","选举管理","查看"
"1273","43","29/5/2020 10:18:22","选举管理","查看"
"1274","43","29/5/2020 10:18:30","选举管理","修改"
"1275","43","29/5/2020 10:18:32","选举管理","查看"
"1276","43","29/5/2020 10:18:39","选举管理","查看"
"1277","43","29/5/2020 10:18:53","选举管理","修改"
"1278","43","29/5/2020 10:19:03","选举管理","查看"
"1279","43","29/5/2020 10:19:07","选举管理","查看"
"1280","43","29/5/2020 10:19:14","选举管理","修改"
"1281","43","29/5/2020 10:19:37","选举管理","查看"
"1282","43","29/5/2020 10:19:59","选举管理","查看"
"1283","43","29/5/2020 10:20:15","选举管理","查看"
"1284","43","29/5/2020 10:20:20","选举管理","查看"
"1285","43","29/5/2020 10:20:28","选举管理","修改"
"1286","43","29/5/2020 10:20:42","选举管理","查看"
